Autorius,Pavadinimas,Metai,isbn
,Žemė ir jos gėrybės,1994,5899500190
,Undinėlė,1995,9986220408
,Žemė ir jos gėrybės,1994,5899500190
"Beier, Brigitte",XX amžiaus metraštis jaunimui,2000,9986854474
,Oksfordo jaunimo enciklopedija. Pasaulio garsenybės,1999,5430028371
,Gyvoji gamta,1991,5899500115
