Autorius,Pavadinimas,Metai,Kodas
"Orianne Lallemand, Eleonore Thuillier",Vilkas keliauja aplink pasaulį,2015,
"Orianne Lallemand, Eleonore Thuillier",Vilkas keičia spalvą,2015,
Virgis Malčius,Dodo ūsai,2016,
Virgis Malčius,Dodo ūsai,2016,
Virgis Malčius,Dodo ūsai,2016,
,"Pasakų šaly, nykštukų karalystėj",2006,
Aleksandra Perkowska,Karalaitės ir kitos pasakos,,
,"Trumpos Lietuvių pasakos apie nykštukus, milžinus ir slibinus",2001,
Max Lucado,Tu esi ypatingas,2019,
Maurice Sendak,Kur gyvena pabaisos,2016,9786099579818
Vytautas V. Landsbergis,Kiaušinių pasakos,2006,
Vytautas V. Landsbergis,Tinginių pasakos,2006,
Hansas Christianas Andersenas,Pasakos (Piemenaitė ir kaminkrėtys. Mergaitė su degtukais. Penki iš vienos ankšties),,
Peter Holeinone,Gražiausios pasaulio pasakos. Jonukas ir Grytutė ir daug kitų pasakėlių,1996,
Tony Wolf,Miško pasakos. Milžinai,1996,
Tony Wolf,Miško pasakos. Nykštukai,1996,
Tony Wolf,Gražiausios pasaulio pasakos. Trys paršiukai ir daug kitų pasakėlių,1995,
Tony Wolf,Gražiausios pasaulio pasakos. Kiškis ir vėžlys ir daug kitų pasakėlių,1996,
Š.Pero,Batuotas katinas,1999,
,Feliksas laisvėje,2000,
Kazys Binkis,Atsiskyrėlis Antanėlis,2000,
,Dvylika Brolių juodvarniais lakstančių,2009,
,Snieguolė ir septyni nykštukai,2009,9786094240003
Tony Wolf,Karalaitės. Gražiausios pasakos,2004,
Marius Marcinkevičius,Princesė,2019,9786098142495
Stanislovas Abromavičius,Noriu knygeles skaityti,2008,
"Katja Reider, Jutta Bucker",Panelė Kiūnlein ieško laimės,2006,
Aldona Vaičiulienė,Augalų pasaulyje,1998,
Anzelmas Matutis,Girios televizorius,1979,
Aldona Vaičiulienė,Gyvūnų pasaulyje,1998,
,Lilo,,
Indrė Jovaišaitė – Blaževičienė,Pasakojimas mažiesiems apie seniausius mūsų žaislus arba kaip piratas Algiukas lobio ieškojo,2013,
Selemonas Paltanavičius,Jie gyvena su mumis,1995,
Pranas Mašiotas,Kiškis Drąsuolis,2014,
Robyn Bryant,Laukinės gulbės,2007,
Robyn Bryant,Bjaurusis ančiukas,2007,
Robyn Bryant,Nauji karaliaus drabužiai,2007,
Liuda Petkevičiūtė,Vištelė Put Pututė,2021,
Liuda Petkevičiūtė,Voveriukas Tindiriukas,2015,
Liuda Petkevičiūtė,Viščiukas Pūkas,2017,
Liuda Petkevičiūtė,Cipcipukas Keberiokštas,2020,
Liuda Petkevičiūtė,Raudona,2013,
Liuda Petkevičiūtė,Raudona,2013,
Liuda Petkevičiūtė,Geltona I dalis,2019,
Liuda Petkevičiūtė,Geltona I dalis,2019,
Liuda Petkevičiūtė,Geltona II dalis,2019,
Liuda Petkevičiūtė,Geltona II dalis,2019,
,Gulbė karaliaus pati. Lietuvių liaudies pasakos,2012,
,Gulbė karaliaus pati,2009,9789955222989
,Batuotas katinas,,
Jolita Zykutė,Spyglys. Mėlyna dėžutė,2022,
Jolita Zykutė,Spyglys. Mėlyna dėžutė,2022,
Ina Ogenskienė,Sagutė,2022,
Ina Ogenskienė,Sagutė,2022,
Jolanta Sereikaitė,Katytės Tikės miškas,2022,
Jolanta Sereikaitė,Katytės Tikės miškas,2022,
Jolanta Sereikaitė,Katytės Tikės miškas,2022,
Jolanta Sereikaitė,Katytės Tikės miškas,2022,
Dominykas Markevičius,Ančiukas ir Ech,2022,
Dominykas Markevičius,Ančiukas ir Ech,2022,
Dominykas Markevičius,Ančiukas ir Ech,2022,
,"Lapė, strazdelis ir varna",1997,
Gilbert Delahaye – Marcel Marlier,Elenytė ir landusis šeškas,2005,
Valerie Thomas ir Korky Paul,Raganėlė Vinė,2013,
,Pasakos ir mįslės 5-6 metų vaikams,2018,
Walt Disney,Mini Maus ir ančiukas,1991,
Karen Vanhercke,Ežeras pilnas žvaigždžių,2021,
Kęstutis Kasparavičius,Meškelionė,2010,
Mercė Aranega,Norėčiau būti vaiduokliu,2003,
"Viola Rohner, Dorota Wunsch",Kaip senelis mokėsi plaukti,2013,
Disney,Bembis ir miško karalius,2012,9986227801
Gianni Rodari,Čipolino nuotykiai,2013,9789955082774
Gianni Rodari,Čipolino nuotykiai,,9789955390657
Gianni Rodari,Čipolino nuotykiai,2022,
,Katinėlis ir gaidelis,,4779017522596
Adolf Holst,Mokykla miške,1991,
Beatričė Poter,Puškutė,1995,
,"Grybai, grybai, baravykai...",1996,
,Lietuvių pasaka. Lapė gudragalvė,1998,
,Vargšas ir besotis,1996,
,Šimto zuikių piemuo,1998,
,Žiogas ir skruzdėlė,1996,
,Mano gerieji draugai,,
,Aukso nevalgysi,1997,
Birutė Tiknevičiūtė,Obelėlės turtai,2002,9986941938
Šarlis Pero,Raudonkepuraitė,1985,
Lina Žutautė,Kakė Makė. Pabėgusios ausys,2016,
Mantas Salickas,Sliekas,,9789955728146
Aleksandras Rosugbu,Kodėl varlė pažaliavo. Ulčių pasaka,1987,
,Rikiki ir pamestas raktas,2002,
,Rikiki ir atkaklus šuniukas,2000,
,Rikiki skalbia,2000,
,Rikiki laiškanešys,2000,
,Jaučio trobelė,2003,4779017521162
,Eglė žalčių karalienė,2010,
,Tomas Sojeris,2006,
Marta Stirbytė-Valaikienė,Margiuko Pūkučio užrašai,2007,
"Ana Galan, Gustavo Mazali",Vaivorykštės klubas. Vėjūnė ir papūgėlės paslaptis,2014,
"Ana Galan, Gustavo Mazali",Vaivorykštės klubas. Vaiva ir dingusios katės paslaptis,2014,
Peter Holeinone,Miško pasakos. Didysis nuotykis,1996,
,Bitė Maja. Karalienės pasiuntinys,,9786094247265
Valdemaras Bonzelsas,Bitė Maja ir jos nuotykiai,1978,
Waldemar Bonsels,Bitė Maja ir jos nuotykiai,2015,
Blanca Castillo,Kaukų magija,2004,
Algimantas Čekuolis,Keturi Žiemos vėjai,2013,
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Ilona Ežerinytė,Šunojaus diena,2016,9786098161175
Gediminas Isokas,Kur lizdelį sukti,1994,
Gediminas Isokas,Šešiakojai,1988,5790000142
"Lina Itagaki, Rasa Grybaitė",Grybo auksas,2021,9786098154238
Paulius Juodišius,Penktadieniais apelsinus sapnuoti dradžiama,2012,
Kazimiera Kazijevaitė,Mano sesė ir aš,2018,9786094663642
Fernando Martinez,Elfų pasiuntinys,2004,
Birutė Mar,Marija ir pūkelis,2009,
Pranas Mašiotas,Juozukas ir Jockus,2015,9786098161083
Pranas Mašiotas,Juozukas ir Jockus,2015,9786098161083
Živilė Miežytė,Vilniaus Vilnius,2018,9786098161274
Živilė Miežytė,Vilniaus Vilnius,2018,9786098161274
Živilė Miežytė,Vilniaus Vilnius,2018,9786098161274
Marija Monika,Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298
Marija Monika,Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298
Marija Monika,Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298
Marija Monika,Patisonas Dublis ir cukinija Sprakselina iškeliauja,2018,9786098161298
Kęstutis Navakas,Kalbančio sūrio burtai,2015,
Violeta Palčinskaitė,Stebuklinga Mocarto fleita,2019,9786094415661
Vytautas Petkevičius,Tik trys vilkiukai,1986,
Lidia Postma,Raganos sodas,2005,
Otfridas Proisleris,Raganiukė,1992,9789955540304
Otfridas Proisleris,Raganiukė,2010,9789955540304
Annie M.G.Schmidt,Viplala,1997,9986431328
Jurga Šeduikytė,Pasaka apie slieką ir jo draugą Pašiauštą,2008,
Neringa Vaitkutė,Jeronimas Dryžius ir įsivaizduojamų draugų departamentas,2021,
Ignė Zarambaitė,Emilio laiškas,2015,9786098161038
Ignė Zarambaitė,Emilio laiškas,2015,9786098161038
Vakarė Aleksandravičiūtė,Gugeliukai,2010,9786094010729
Pranas Mašiotas,"Juozukas, pieštukas ir trintukas",2014,9786099560601
Pranas Mašiotas,"Juozukas, pieštukas ir trintukas",2014,9786099560601
Ignė Zarambaitė,Emilio laiškas,2015,9786098161038
Janina Navakauskienė,Gamtininko pasakos,2002,
Selemonas Paltanavičius,Iš aš turiu saulutę,1987,
Selemonas Paltanavičius,Iš aš turiu saulutę,1987,
Selemonas Paltanavičius,Velniukas ir vieversiukas,2005,
Jenny Dale,Didysis Benas,2005,
Knister Joko,Mano keistasis draugas,2011,
Otfridas Proisleris,Raganiukė,2002,9789955540304
Elena Launikonytė,"Pelėnas, Varlėnas ir Bobo",2018,9786098161281
Elena Launikonytė,"Pelėnas, Varlėnas ir Bobo",2018,9786098161281
Patricia Schroder,Princesė Gvendolina,2013,
Džeronimas Stiltonas,Monos Pelizos šypsena,,
Džeromas Stiltonas,Karinis katinų piratų burlaivis,2013,
Džeromas Stiltonas,Metro šmėkla,2013,
Eglė Jokužytė,Marsiečio abėcėlė,2018,
Holly Webb,Pajūrio šuniukas,2017,
Vytautas Petkevičius,Kodėlčius,2013,9786090111192
Vytautas Petkevičius,Kodėlčius,2021,9786090111192
Motiejus Valančius,Mikė melagėlis,1980,
Vincas Pietaris,Lapės gyvenimas ir mirtis,1970,
Žemaitė,Rinkinėlis vaikams,1976,
Kristina Jakaitė,Bobausis be ausų,2023,9786098161649
Kristina Jakaitė,Bobausis be ausų,2023,9786098161649
Simon Tofield,Saimono katinas,2004,
Rimas Valeikis,Akvariumo istorijos,2015,
Džeinė Eliot ir Kolinas Kingas,Mano pirmoji enciklopedija,1994,9986020522
Eduard Uspenskij,Kūlverstukas. Naujieji draugai,2011,
Thomas Christos,Robotuko Robio išdaigos,2017,
Vytautas V. Landsbergis,Skruzdėlytė Birutė. 1 knyga,2007,
Daisy Meadows,Auksuolė – geltonoji fėja 3,2006,
Jill Murphy,Netikusi ragana,2009,9789955382669
Ilona Ežerinytė,Pepsė,2023,9786098310092
Ilona Ežerinytė,Tetulė Liu,2022,
W.Bruce Cameron,Elės  istorija,2015,
Eugenija Marks,Liepa ir Rokis nepasiduoda,2023,
Isabel Abedi,Štai ir Lola!,2007,
Aldona Liobytė,Lėlė Aili,2015,
Rūta Montvilaitė,Septyni Paukščių įstatymai,2018,
Rūta Montvilaitė,Septyni Paukščių įstatymai,2018,
Gintaras Beresnevičius,Kaukučiai ir varinis šernas,2007,
Neringa Dangvydė,Vaikas su žvaigžde kaktoje,2016,
Marija Gripė,Elvis Karlsonas,1980,
Klaus Hagerup,"Mergaitė, norėjusi išgelbėti knygas",2018,
Danguolė Kandrotienė,Aitvarų diena,2016,
Nijolė Kepenienė,Džiovintas debesėlis,2013,
Vytautas V. Landsbergis,Arklio Dominyko kelionė į žvaigždes,2007,
Vytautas V. Landsbergis,Arklio Dominyko meilė,2004,
Vytautas V. Landsbergis,Arklio Dominyko meilė,2004,
Astrida Lindgren,"Mažylis ir Karlsonas, kuris gyvena ant stogo",1995,
Emilija Liegutė,Šuo Džimas – geras,2000,
Aldona Liobytė,Lėlė Aili,2015,
Vytautas Misevičius,Danuko Dunduliuko nuotykiai (pradžia),2010,
Vytautas Misevičius,Danuko Dunduliuko nuotykiai ,2010,
"Soren Olsson, Anders Jacobsson",Berto dienoraštis,1998,5415012923
Otfried Preubler,Herbė su didele skrybėle,2005,9955086173
Otfried Preubler,Plėšikas Hocenplocas,2002,
Otfried Preubler,Viskas apie plėšiką Hocenplocą,2010,
Kazys Saja,Peštukai ir nykštukai,2017,
Kazys Saja,Peštukai ir nykštukai,2017,
Kazys Saja,Peštukai ir nykštukai,2017,
Ramunė Savickytė,Adelės dienoraštis. Žiema,2016,
Ramunė Savickytė,Adelės dienoraštis. Ruduo,2014,
Ramunė Savickytė,Adelės dienoraštis. Ruduo,2014,
Ramunė Savickytė,Adelės dienoraštis. Pavasaris,2018,
Ramunė Savickytė,Adelės dienoraštis. Ruduo,2014,
Rebeka Una,"Aš esu Tomas, seklys",2016,
Algimantas Zurba,Raganaitė Džilda,2006,
Albinas Žukauskas,Varlė skalbėja,2015,
Lina Žutautaitė,Ferdinandas ir Pū,2012,9786090106884
LinaŽutautaitė,Ferdinandas ir Pū. Žygis į Australiją,2013,
Lina Žutautaitė,Ferdinandas ir Pū. Žygis į Australiją,2013,
Jurga Ivanauskaitė,Stebuklinga spanguolė,1991,
Rūta Montvilaitė,Septyni Paukščių įstatymai,2018,
Marija Gripė,Elvis Karlsonas,1980,
Knister,Ragana Lilė ir apverčia mokyklą aukštyn kojomis 1,2004,
Knister,Ragana Lilė dinozaurų šalyje 14,2008,
Knister,Ragana Lilė Mandolane 21,2013,
Knister,Ragana Lilė ieško pražuvusio lobio 8,2009,
Knister,Ragana Lilė ir nugrimzdusio pasaulio paslaptis 9,2006,
Bitė Vilimaitė,Čiuožyklos muzika,1992,
Aleksandras Volkovas,Septyni požemio karaliai,1972,
Aleksandras Volkovas,Apleistos pilies paslaptis,1987,
Aleksandras Volkovas,Smaragdo miesto burtininkas,1966,
Aleksandras Volkovas,Maranu ugnies dievas,1977,
Aleksandras Volkovas,Maranu ugnies dievas,1977,
E.B.White,Gulbės trimitas,2005,
Nojolė Jankutė,Šamo ežero sekliai,1991,5790005195
Rebeka Una,"Labas, aš Tadas 2",2018,
Rebeka Una,"Labas, aš Tadas ",2018,
Rebeka Una,"Labas, aš Tadas ",2017,
Rebeka Una,Pijus ir Nikolas,2016,
Rebeka Una,Pijus ir Nikolas,2016,
Rebeka Una,Pijus ir Nikolas,2016,
Rebeka Una,Pijus ir Nikolas,2016,
Shel Silverstein,Dovanų medis,2013,
Knister,Ragana Lilė ir drakono knyga 0,2009,
Hortense Ulrich,Baubų vieta palovy,2000,
Cressida Cowell,Kaip prisijaukinti slibiną,2019,
"Sven Hartmann, Thomas Hartner",Aš ir mano žmogus,2000,
Vytautas Petkevičius,Sieksnis sprindžio vaikas,2020,
Ramunė Savickytė,Adelės dienoraštis. Vasara,2022,
Tomas Dirgėla,Apie raganą Šiokią tokią,2014,
Otfried Preusler,Ponas Klingzoras truputį mokėjo burti,2002,
Tomas Dirgėla,Benas – sapnų siuvėjas,2018,
Otfried Preubler,Plėšikas Hocenplocas,2017,
Wald Disney,13 aukštyn į dangų,,
Martynas Vainilaitis,Bruknelė,1991,
Pamela Butchart,Bėkit! Artinasi monstras iš rytų!,2022,
Shaun Tan,Prarastas daiktas,,
Tomas Dirgėla,Domas ir Tomas. Mokyklos vaiduoklio mįslė. 3 knyga,2023,
Tomas Dirgėla,Domas ir Tomas.Dingusios katinų byla. 8 knyga,2022,
Rebeka Una,"Aš esu Tomas, seklys",2016,
Zizou Corder,Liūtų Berniukas: teisybė,2007,
Cressida Cowell,Burtininkų amžius,2019,9786090134573
Roald Dahl,Matilda,2000,
Tomas Dirgėla,Benas – sapnų siuvėjas,2018,
Kate DiCamillo,Pasaka apie Desperą,2005,
Michaelis Endė,Džimas Saga ir pašėlęs tryliktukas,2000,
"Anna Fieberg, Barbara Fieberg",Tašio nuotykiai,2005,
Justine ir Ron Fontes,Kalėdų Senelio slaptoji tarnyba,2011,
Vivian French ir Chris Fisher,Linksmasis Rodžeris ir nuskendęs lobis,1995,
Marija Gripė,Jozefina,2002,
Eva Ibbotson,Šuo ir jo berniukas,2015,9786094413322
Tuvė Janson,Burtininko skrybėlė. Muminuko tėčio memuarai. Baisus vidurnaktis,1992,
William Joyce,Olio odisėja,2018,
William Joyce,Olio odisėja,2018,
Aidas Jurašius,Akmenukų pasakos,2015,
Aidas Jurašius,Akmenukų pasakos,2015,
Aidas Jurašius,Akmenukų pasakos,2015,
Aidas Jurašius,Akmenukų pasakos,2015,
"Caroline Lahusen, Jens Schroder",Bobas ir piratų salos prakeiksmas,2017,
Vytautas V. Landsbergis,Dominykas Ąžuolų slėnyje,2018,
Vytautas V. Landsbergis,Briedis Eugenijus Uogieninas,2015,
C.S.Lewis,Žirgas ir jo berniukas,1998,
Astrid Lindgren,Rasmusas klajūnas,1992,
Astrid Lindgren,Kalio Bliumkvisto nuotykiai,2021,
Astrid Lindgren,Pavojingas Kalio Bliumkvisto gyvenimas,,
Astrid Lindgren,Rasmusas klajūnas,1965,
Kerstin Ljunggren,Svečiuose pas Astridą Lindgren,1997,
Antonia Michaelis,Nuotykiai Amerlyje,2009,
Gendrutis Morkūnas,Blusyno pasakojimai,2008,
Annette Neubauer,Supermergaitė Suzi,2014,
Selemonas Paltanavičius,Paukščių laikrodis,1988,
Selemonas Paltanavičius,Velniukas ir vieversiukas,2007,
Selemonas Paltanavičius,"Tai mes, pelės!",2004,
Antonijus Pogorelskis,Juodoji višta arba Požemio gyventojai,2006,
Vytautas Račickas,Berniukai šoka breiką,2007,
Eno Raud,Pabaldukai,1998,541501280x
Jurg Schubiger,"Mama, tėtė, aš ir ji",2010,
Patricia Schroder,Antonijos gyvenime sumaištis,2005,
Patricia Schroder,Princesė Gvendolina,2012,
Martin Sodomka,Kaip sukonstruoti lėktuvą,2017,
Martin Sodomka,Kaip sukonstruoti lėktuvą,2017,
Tomas B. Stounas,Kapinių mokykla. Suplyšusios kojinės,2003,
Ulf Stark,Sikstenas,2007,
"Rita Šemelytė, Vytautas Brazauskas",Bubio nuotykiai Galapaguose,2017,
Vytautas Tamulaitis,Svirplio muzikanto kelionės,1997,
Ludwig Thoma,Iš vieno varliamušio gyvenimo,1999,
Pamela Trevers,Merė Popins,1970,
Pamela Trevers,Merė Popins atidaro duris,2001,
Pamela Trevers,Merė Popins grįžta,2000,
Pamela Trevers,Merė Popins parke,1974,
Pamela Trevers,Merė Popins išeina pro duris,1973,
Pamela Trevers,Merė Popins grįžta,1972,
Pamela Trevers,Merė Popins atidaro duris,2001,
Volker Ufertinger,Kodėl angelai turi sparnus?,2006,
Jurga Vilė,Sibiro haiku,2018,
Sabine Zett,Hugo planas,2014,
Broliai Grimai,Pasakos,,9786098222203
Marina Aromštam,Kai ilsis angelai,2016,
Brolių Grimų,Pasakos,2010,9786098222203
Raminta Baltrušytė,Kalvėnų miesto paslaptis,2014,
Broliai Grimai,Vaikų ir namų pasakos 2,1999,
Broliai Grimai,Gražiausios brolių Grimų pasakos,1997,
Broliai Grimai,Vaikų ir namų pasakos 3,2000,
Rebeka Una,Barbora ir pelkių senelis,2016,
Rebeka Una,Barbora ir pelkių senelis,2016,
Rebeka Una,Barbora ir pelkių senelis,2016,
Rebeka Una,Barbora ir pelkių senelis,2016,
Ulf Stark,Sikstenas,2007,
Uršulė Strazdauskaitė,Padangių vėjas,2016,
Aleksandras Kuprinas,Varnėnai,1976,
Aleksandras Kuprinas,Varnėnai,1976,
Saliamonas Paltanavičius,Medis užauga didelis,1985,
Juozas Isokas,Senojo eigulio mokykloje,1982,
Marija Gripė,Hugas ir Jozefina,2002,
Steve Worland,Popieriniai lėktuvėliai,2016,9786094413728
Rebeka Una,"Aš esu Tomas, seklys",2016,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,Kiemo seklys Tomas ir Valius (kartais),2017,
Rebeka Una,"Aš esu Tomas, seklys",2016,
Rebeka Una,"Aš esu Tomas, seklys",2016,
Antoine de saint Exupery,Mažasis princas. The little prince,2019,
Ričardas Mydas,Žiaurieji piratai,2006,
Kazys Saja,Klumpės,1988,
Diana Lekevičienė,Paslapčiagai,2022,
Diana Lekevičienė,Paslapčiagai,2022,
Cristine Nostlinger,Ateina šuo,2009,
Ramutė Skučaitė,Mane saulytė šaukė,1988,
Ramutė Skučaitė,Tegul mergytė šypsosi,1982,
Antoine de Saint-Exupery,Mažasis princas,2021,
Rebeka Una,"Aš esu Tomas, seklys",2016,
Roald Dahl,Matilda,1992,
Roald Dahl,Matilda,2014,
Jonas Avyžius,Bardo nuotykiai ir žygiai,2014,9786090110126
Hanna Blixt,Baltosios pelėdos ženklas. Stikso žymė,2022,
Hanna Blixt,Baltosios pelėdos ženklas. 2 dalis. Juodoji valdovė,2022,
Sarah Lean,Šuo vardu Benamis,2016,
Andri Snaer Magnason,Mėlynosios planetos istorija,2009,
P.L.Travers,Merė Popins parke,2016,
,Džeromas Stiltonas: karinis katinų Piratų burlaivis,,
Cristine Nostlinger,Gretutė mano mažutė,2003,
Rebeka Una,Aš pakeisiu pasaulį,2022,9786098161618
Rebeka Una,Aš pakeisiu pasaulį,2022,
Rebeka Una,Aš pakeisiu pasaulį,2022,
Rebeka Una,Aš pakeisiu pasaulį,2022,
Rebeka Una,Aš pakeisiu pasaulį,2022,
Vytautas V. Landsbergis,Erelio sakmė,2012,
Johanna Spyri,Heida,2013,
Vytautas V.Landsbergis,Obuolių pasakos,1999,
Vytautas V.Landsbergis,Obuolių pasakos ir kriaušių,2008,
Roald Dahl,DGM,2013,
Roald Dahl,DGM,2013,
Erich Kastner,Emilis ir sekliai,2008,
Vladimirs Kaijaks,Juodasis kamuolys,2005,
Janušas Korčiakas,Karalius Motiejukas Pirmasis,1982,
Astrid Lindgren,Mūsų visų Madikė,1997,9986023351
Astrid Lindgren,Mūsų visų Madikė,2006,
Astrid Lindgren,Mūsų visų Madikė,2006,
Jonas Mačiukevičius,Birutė,2006,
Christine Nostlinger,Gretutė Zakmajer: vienos šeimos istorija,2000,
Christine Nostlinger,Gretutei rūpi Hansiukas,2002,
Katherine Peterson,Smarkuolė Gilė Hopkins,2015,
Katherine Peterson,Smarkuolė Gilė Hopkins,1989,5790002846
Katherine Peterson,Smarkuolė Gilė Hopkins,1999,
Kazys Saja,"Ei, slėpkitės!",1999,
Rebeka Una,Šiukšlių Dievas,2021,
Rebeka Una,Šiukšlių Dievas,2021,
Vytautė Žilinskaitė,Radinių namelis,2009,
,Stebuklingos jūrininko Sindbado kelionės.,2007,
Eric Knight,Lesė grįžta,1998,5790007708
Edmondas de Amičis,Širdis,1989,
Edmondas de Amičis,Širdis,1989,
Kazys Saja,"Ei, slėpkitės!",1977,
Markas Tvenas,Tomo Sojerio nuotykiai. Heklberio Fino nuotykiai,1988,5790093303
Mary Norton,Skoliniautojai,2002,
,Jaunųjų švilpikų enciklopedija. Mokslas ir išradimai. 10,,
Vytautas Račickas,Šeštoji šlepetė. Misija neįmanoma,2013,
Guid Blyton,Stebuklingas tolumų medis,2016,
Feldhaus,Pašėlusios atostogos,2013,
Rudiger Bertram,Kūlmenas ir aš,2010,
Birutė Mar,Gėlininkė,2014,
Birutė Mar,Gėlininkė,2014,
Birutė Mar,Gėlininkė,2014,
Birutė Mar,Gėlininkė,2014,
Gintarė Adomaitytė,Žaliojo namo paslaptis,2015,
Rudolfas Erichas Raspė,Barono Miunhauzeno nuotykiai,2007,
Alan Marshall,Aš moku šokinėti per balas,1999,
Alan Marshall,Aš moku šokinėti per balas,2015,
Alanas Maršalas,"Papasakok apie kalakutą, Džo",1989,
Robertas Styvensonas,Lobių sala,1997,9986459230
Robertas Styvensonas,Lobių sala,2010,
Haufas,Haufo pasakos,1993,
Astrida Lindgren,Broliai Liūtaširdžiai,1997,
Oskaras Vaildas,Laimingasis princas,1985,
Selma Lagerlef,Stebuklingosios Nilso kelionės,1984,
Kazys Saja,Gvidono apsiaustas,1988,
Kazys Saja,Gvidono apsiaustas,1988,
Herbertas Džordžas Velsas,Nematomas žmogus,1986,
Žiulis Vernas,Aplink Žemę per 80 dienų,1977,
Jules Verne,Aplink Žemę per 80 dienų,2015,
Gotfrydas Augustas Biurgeris,Baronas Miunhauzenas,1987,
Guid Blyton,Šauniojo penketuko nuotykiai,2020,
Luc Besson,Artūras,2003,
Jules Verne,Penkiolikos metų kapitonas,1993,
H.Bičer Stou,Dėdės Tomo trobelė,1993,
Herieta Bičer-Stou,Dėdės Tomo trobelė,1980,
D.Defo,Robinzonas Kruzas,1991,
Danielis Defo,Robinzono kruzo gyvenimas ir nuotykiai,1971,
Danielis Defo,Robinzonas Kruzas,1991,
Danielis Defo,Robinzonas Kruzas,1991,
Danielis Defo,Robinzonas Kruzas,1991,
Marija Gripė,Nepaprasta Agnesės Sesilijos istorija,1996,
Lene Kaaberbol,"Dina, gėdytojos duktė",2003,
Terry Lynn Johnson,Ledo šunys,2016,
Hovardas Pailas,Robino Hudo nuotykiai,1982,
Hovardas Pailas,Robino Hudo nuotykiai,1995,
Markas Tvenas,Princas ir elgeta,1990,
Markas Tvenas,Princas ir elgeta,1990,
Mark Twain,Princas ir elgeta,2011,
Liselotte Welskopf-Henrich,Harka,2003,
Liselotte Welskopf-Henrich,Harka,1990,
Žiulis Vernas,Penkiolikos metų kapitonas,1979,
Oskaras Lutsas,Pavasaris,1995,
Vytautas Misevičius,Jaunasis pagonis,1983,
Stephanie,Agurkėliai su šokoladu,2002,
Frances Hardinge,Melų medis,2021,
Astrid Lindgren,Kerstina ir aš,2019,
James Kruss,Timas Taleris arba parduotas juokas,2021,
Kazys Sąja,Septyni miegantys broliai,2009,
Charles Dickens,Kalėdų giesmė,2020,
Lucy Maud Montgomer,Anė iš salos,2018,
Lucy Maud Montgomer,Anė iš Evonlio,2014,
Lucy Maud Montgomer,Anė iš Evonlio,2014,
Gendrutis Morkūnas,Iš nuomšiko gyvenimo,2010,
William Saroyan,"Mama, aš tave myliu",2015,
Aidas Jurašius,Pypas ir jo nutikimai,2017,
Aidas Jurašius,Pypas ir jo nutikimai,2017,
Aidas Jurašius,Pypas ir jo nutikimai,2017,
Susan Kreller,Drambliai nematomi,2012,
Ulf Stark,Tegul baltieji lokiai šoka,1998,
Čarlzas Dikensas,Oliverio Tvisto nuotykiai,1996,
Rėjus Bredberis,Pienių vynas,2024,9786094665783
Ana Frank,Dienoraštis,2015,
Unė Kaunaitė,Laiškai Elzei,2016,
Hektoras Malo,Be šeimos,1986,
Hektoras Malo,Be šeimos,1986,
Hector Malot,Be šeimos,2002,
Jean-Claude Mourlevat,"Upė, tekanti atgal",2019,
Dž.Sviftas,Gyliverio kelionės,1987,
Džonatanas Sviftas,Guliverio kelionės,2007,
Eduard Štorch,Mamutų medžiotojai,2007,
Šekspyras,Vasarvidžio nakties sapnas,2020,
Viljamas Sarojanas,"Tėti, tu keistuolis. Mama, aš tave myliu",1988,
Viljamas Sarojanas,"Tėti, tu keistuolis. Mama, aš tave myliu",1988,
Saulius Šaltenis ,Apysakos,1986,
William Shakespeare,Vasarvidžio nakties sapnas,2020,
Selma Lagerlef,Portugalijos karalius,1958,
Marius Jonutis,Kirminas paukštis,2009,
Vince Vawter,Laikraščių berniukas,2016,
Tove Jansson,Troliai Mumiai. Tėtis ir jūra. Vėlai lapkritį,,
Otfried Preusler,Krabatas arba treji metai užburtame malūne,2021,
Oscar Wilde,Doriano Grėjaus portretas,2023,
Daina Opolskaitė,Eksperimentas gyventi,2015,
Ernestas Hemingvėjus,Senis ir jūra,1967,
Žezefas Bedje,Romanas apie Tristianą ir Izoldą,1967,
Sonya Hartnett,Nekviestas svečias,2017,
Ignas Šeinius,Kuprelis,2008,9799986060375
Ezopas Fedras,Antikos pasakėčios,2005,
Longas,Dafnis ir Chlojė,,
Vanda Juknaitė,Išsiduosi. Balsu,2015,9789986392422
Vanda Juknaitė,Tariamas iš tamsos,2007,
Ričardas Gavelis,Jauno žmogaus memuarai,1991,
Michael Morpurgo,Karo žirgas,2023,
Alvydas Šlepikas,Mano vardas – Marytė,,
